product_id,offer_id,source,snapshot_date,institution,institution_type,product_name,product_type,base_rate,max_rate,period_months,amount_cap,region,join_channel
CU-02022-1501-영업점-1,,OFFICIAL,2026-09-10,HJ중공업,신협,정기예탁금(만기지급식),예금,2.0,2.0,1,1000000000,,대면
CU-03016-1501-영업점-1,,OFFICIAL,2026-09-10,가나안,신협,정기예탁금(만기지급식),예금,1.0,1.0,1,1000000000,,대면
CU-03016-1502-영업점-1,,OFFICIAL,2026-09-10,가나안,신협,한아름정기예탁(만기지급식),예금,1.0,1.0,1,1000000000,,대면
CU-01300-1501-영업점-1,,OFFICIAL,2026-09-10,가락,신협,정기예탁금(만기지급식),예금,1.3,1.3,1,1000000000,,대면
CU-01300-1501-인터넷-1,,OFFICIAL,2026-09-10,가락,신협,정기예탁금(만기지급식),예금,1.3,1.3,1,1000000000,,비대면
CU-01168-1501-영업점-1,,OFFICIAL,2026-09-10,가톨릭명동,신협,정기예탁금(만기지급식),예금,2.5,2.5,1,1000000000,,대면
CU-01254-1501-영업점-1,,OFFICIAL,2026-09-10,가톨릭중앙의료원,신협,정기예탁금(만기지급식),예금,2.6,2.6,1,1000000000,,대면
CU-04090-1501-영업점-1,,OFFICIAL,2026-09-10,가톨릭춘천,신협,정기예탁금(만기지급식),예금,2.0,2.0,1,1000000000,,대면
CU-04090-1501-인터넷-1,,OFFICIAL,2026-09-10,가톨릭춘천,신협,정기예탁금(만기지급식),예금,2.0,2.0,1,1000000000,,비대면
CU-03138-1501-영업점-1,,OFFICIAL,2026-09-10,가평,신협,정기예탁금(만기지급식),예금,2.0,2.0,1,1000000000,,대면
CU-03138-1501-인터넷-1,,OFFICIAL,2026-09-10,가평,신협,정기예탁금(만기지급식),예금,2.0,2.0,1,1000000000,,비대면
CU-05104-1501-영업점-1,,OFFICIAL,2026-09-10,감물,신협,정기예탁금(만기지급식),예금,0.3,0.3,1,1000000000,,대면
CU-09102-1501-영업점-1,,OFFICIAL,2026-09-10,강구,신협,정기예탁금(월지급식),예금,1.0,1.0,1,1000000000,,대면
CU-04016-1501-영업점-1,,OFFICIAL,2026-09-10,강릉,신협,정기예탁금(만기지급식),예금,0.1,0.1,1,1000000000,,대면
CU-04016-1501-인터넷-1,,OFFICIAL,2026-09-10,강릉,신협,정기예탁금(만기지급식),예금,0.1,0.1,1,1000000000,,비대면
CU-01161-1501-영업점-1,,OFFICIAL,2026-09-10,강북,신협,정기예탁금(만기지급식),예금,0.5,0.5,1,1000000000,,대면
CU-01161-1501-인터넷-1,,OFFICIAL,2026-09-10,강북,신협,정기예탁금(만기지급식),예금,0.5,0.5,1,1000000000,,비대면
CU-01183-1501-영업점-1,,OFFICIAL,2026-09-10,강서,신협,정기예탁금(만기지급식),예금,0.5,0.5,1,1000000000,,대면
CU-01183-1501-인터넷-1,,OFFICIAL,2026-09-10,강서,신협,정기예탁금(만기지급식),예금,0.5,0.5,1,1000000000,,비대면
CU-01183-1504-영업점-1,,OFFICIAL,2026-09-10,강서,신협,파워정기예탁금(만기지급식),예금,0.5,0.5,1,1000000000,,대면
CU-10022-1501-영업점-1,,OFFICIAL,2026-09-10,거제중앙,신협,정기예탁금(만기지급식),예금,1.5,1.5,1,1000000000,,대면
